movieId,imdbId,tmdbId,imdb_rating,imdb_genre,tmdb_rating,tmdb_genre
1,114709,862.0,4.15,Animation|Adventure|Comedy|Family|Fantasy,3.95,Animation|Comedy|Family
2,113497,8844.0,3.5,Adventure|Comedy|Family|Fantasy,3.6,Adventure|Fantasy|Family
3,113228,15602.0,3.35,Comedy|Romance,3.3,Romance|Comedy
4,114885,31357.0,2.95,Comedy|Drama|Romance,3.15,Comedy|Drama|Romance
5,113041,11862.0,3.0,Comedy|Family|Romance,3.1,Comedy
6,113277,949.0,4.1,Crime|Drama|Thriller,3.9,Action|Crime|Drama|Thriller
7,114319,11860.0,3.15,Comedy|Drama|Romance,3.05,Comedy|Romance
8,112302,45325.0,2.75,Adventure|Comedy|Drama|Family|Romance|Western,2.7,Action|Adventure|Drama|Family
9,114576,9091.0,2.9,Action|Crime|Thriller,2.85,Action|Adventure|Thriller|Drama
10,113189,710.0,3.6,Action|Adventure|Thriller,3.4,Adventure|Action|Thriller
11,112346,9087.0,3.4,Comedy|Drama|Romance,3.3,Comedy|Drama|Romance
12,112896,12110.0,2.95,Comedy|Fantasy|Horror,2.95,Comedy|Horror|Fantasy
13,112453,21032.0,3.55,Animation|Adventure|Drama|Family|History,3.65,Animation|Adventure|Family
14,113987,10858.0,3.55,Biography|Drama|History,3.5,History|Drama
15,112760,1408.0,2.85,Action|Adventure|Comedy,2.9,Action|Adventure
16,112641,524.0,4.1,Crime|Drama,4.0,Crime
17,114388,4584.0,3.8,Drama|Romance,3.7,Drama|Romance
18,113101,5.0,3.4,Comedy,3.0,Crime|Comedy
19,112281,9273.0,3.2,Adventure|Comedy|Crime,3.15,Crime|Comedy|Adventure
20,113845,11517.0,2.85,Action|Comedy|Crime|Drama|Thriller,2.85,Action|Comedy|Crime
21,113161,8012.0,3.45,Comedy|Crime|Thriller,3.25,Comedy|Thriller|Crime
22,112722,1710.0,3.3,Drama|Mystery|Thriller,3.25,Thriller
23,112401,9691.0,3.15,Action|Crime|Thriller,3.1,Action|Adventure|Crime|Thriller
24,114168,12665.0,3.3,Drama|Fantasy|Mystery|Sci-Fi|Thriller,3.2,Drama|Fantasy|Science Fiction|Thriller
25,113627,451.0,3.75,Drama|Romance,3.6,Drama|Romance
26,114057,16420.0,3.45,Drama|Romance,3.35,Drama
27,114011,9263.0,3.4,Comedy|Drama|Romance,3.35,Comedy|Drama|Family
28,114117,17015.0,3.8,Drama,3.8,Drama|Romance
29,112682,902.0,3.8,Fantasy|Sci-Fi,3.75,Fantasy|Science Fiction|Adventure
30,115012,37557.0,3.55,Crime|Drama|History|Romance|Thriller,3.4,Drama|Crime
31,112792,9909.0,3.25,Biography|Drama,3.3,Thriller
32,114746,63.0,4.0,Mystery|Sci-Fi|Thriller,3.8,Science Fiction|Thriller|Mystery
34,112431,9598.0,3.35,Comedy|Drama|Family,3.05,Fantasy|Drama|Comedy|Family
